                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74701,                0.66402,                 0.9895,                 0.9077,                0.81174,                0.89009,                0.73624,                 0.7248,                0.53134,                0.92175,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                0.81671,                0.68817,                  1.028,                0.90642,                 0.8133,                0.88969,                0.73513,                0.71973,                0.53006,                0.91997,             1.6966e-05,             1.6966e-05,             1.6966e-05
                      3,                0.80157,                0.65185,                 1.0081,                0.92394,                0.80315,                0.89125,                0.74031,                0.71461,                0.52421,                0.91848,              2.466e-05,              2.466e-05,              2.466e-05
                      4,                0.80607,                0.65326,                 1.0227,                0.91773,                0.81434,                0.89407,                0.74348,                0.70787,                0.52018,                0.91657,             3.1412e-05,             3.1412e-05,             3.1412e-05
                      5,                0.85155,                0.70627,                 1.0224,                 0.9226,                0.81768,                0.89367,                0.74365,                0.70695,                0.51961,                0.91585,             3.7221e-05,             3.7221e-05,             3.7221e-05
                      6,                0.78425,                0.62569,                 1.0002,                0.92047,                0.81928,                0.89371,                0.74308,                 0.7098,                0.52353,                0.91651,             4.2087e-05,             4.2087e-05,             4.2087e-05
                      7,                0.80344,                0.64602,                 1.0173,                0.92397,                0.81654,                0.89306,                0.74141,                0.71065,                 0.5204,                0.91854,             4.6011e-05,             4.6011e-05,             4.6011e-05
                      8,                0.77192,                0.63808,                 0.9966,                0.92986,                0.81253,                0.89355,                0.74419,                0.71287,                 0.5174,                0.91961,             4.8993e-05,             4.8993e-05,             4.8993e-05
                      9,                0.80564,                 0.6404,                 1.0055,                0.89897,                0.83086,                0.89385,                0.74247,                 0.7168,                0.51798,                0.92091,             5.1032e-05,             5.1032e-05,             5.1032e-05
                     10,                0.77656,                0.63945,                 1.0101,                0.90807,                0.82291,                0.89419,                0.74411,                0.71895,                0.51883,                0.92105,             5.2129e-05,             5.2129e-05,             5.2129e-05
                     11,                0.82606,                0.69735,                0.99965,                0.90491,                 0.8226,                 0.8941,                0.74056,                0.72284,                0.52498,                0.92102,             5.2283e-05,             5.2283e-05,             5.2283e-05
                     12,                0.86085,                0.72962,                 1.0269,                0.90869,                0.81595,                0.89182,                 0.7394,                0.72502,                0.52639,                0.92124,             5.1494e-05,             5.1494e-05,             5.1494e-05
                     13,                 0.8822,                0.72463,                 1.0282,                0.92101,                0.80367,                 0.8914,                0.74158,                0.72777,                0.52727,                0.92163,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     14,                0.80679,                0.65899,                0.98396,                0.92158,                0.80567,                0.89165,                0.73688,                0.72751,                0.53164,                0.92246,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     15,                 0.8301,                 0.6688,                0.99958,                0.91822,                0.80746,                0.89214,                0.73792,                0.72674,                0.53253,                0.92342,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     16,                0.83957,                 0.6885,                 1.0048,                0.90699,                0.81308,                0.89317,                0.73639,                0.72514,                0.52996,                0.92357,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     17,                0.79667,                0.63351,                0.98126,                0.90526,                0.81517,                0.89235,                0.73762,                0.72318,                0.52941,                0.92328,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     18,                0.79902,                0.63079,                 0.9761,                0.90787,                0.81661,                0.89295,                 0.7371,                0.72159,                0.53036,                 0.9223,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     19,                0.79895,                0.63254,                0.98611,                 0.9025,                0.82008,                0.89322,                 0.7387,                0.71966,                0.53117,                0.92119,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     20,                0.77695,                0.60738,                0.97793,                0.90587,                0.81892,                 0.8937,                0.73846,                0.71965,                0.53157,                0.92133,             1.2971e-05,             1.2971e-05,             1.2971e-05
